Study_ID,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,PUBLICATION_TYPE
221,"Moore, BD; Coulson, G; Way, S",Habitat selection by adult female eastern grey kangaroos,Wildlife Research,2002,29,5,439-445,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",1035-3712,10.1071/WR01057,Article
222,"YEO, JJ; PEEK, JM",HABITAT SELECTION BY FEMALE SITKA BLACK-TAILED DEER IN LOGGED FORESTS OF SOUTHEASTERN ALASKA,Journal Of Wildlife Management,1992,56,2,253-261,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2307/3808820,Article
223,"Nolfo-Clements, LE",Habitat Selection by Nutria in a Freshwater Louisiana Marsh,Southeastern Naturalist,2012,11,2,183-204,HUMBOLDT FIELD RESEARCH INST,"PO BOX 9, STEUBEN, ME 04680-0009 USA",1528-7092,10.1656/058.011.0203,Article
224,"Brook, RK",Habitat selection by parturient elk (Cervus elaphus) in agricultural and forested landscapes,Canadian Journal Of Zoology,2010,88,10,968-976,CANADIAN SCIENCE PUBLISHING,"65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4301,10.1139/Z10-061,Article
225,"Mayer, M; Ullmann, W; Sunde, P; Fischer, C; Blaum, N",Habitat selection by the European hare in arable landscapes: The importance of small-scale habitat structure for conservation,Ecology And Evolution,2018,8,23,11619-11633,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",2045-7758,10.1002/ece3.4613,Article
226,"Godbout, G; Ouellet, JP",Habitat selection of American marten in a logged landscape at the southern fringe of the boreal forest,Ecoscience,2008,15,3,332-342,UNIVERSITE LAVAL,"PAVILLON CHARLES-EUGENE MARCHAND, LOCAL 0166, ST FOY, QUEBEC G1K 7P4",1195-6860,10.2980/15-3-3091,Article
227,"Harper, GA","Habitat selection of feral cats (Felis catus) on a temperate, forested island",Austral Ecology,2007,32,3,305-314,BLACKWELL PUBLISHING,"9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND",1442-9985,10.1111/j.1442-9993.2007.01696.x,Article
228,"Ashrafi, S; Rutishauser, M; Ecker, K; Obrist, MK; Arlettaz, R; Bontadina, F",Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation,Biodiversity And Conservation,2013,22,12,2751-2766,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0960-3115,10.1007/s10531-013-0551-z,Article
229,"Riber, AB",Habitat use and behaviour of European hedgehog Erinaceus europaeus in a Danish rural area,Acta Theriologica,2006,51,4,363-371,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",0001-7051,10.1007/BF03195183,Article
230,"Aguiar, LMS; Bernard, E; Machado, RB",Habitat use and movements of Glossophaga soricina and Lonchophylla dekeyseri (Chiroptera: Phyllostomidae) in a Neotropical savannah,Zoologia,2014,31,3,223-229,"SOC BRASILEIRA ZOOLOGIA, UNIV FEDERAL PARANA","CAIXA POSTAL 19020, CURITIBA, PARANA 81531-980, BRAZIL",1984-4689,10.1590/S1984-46702014000300003,Article
231,"Rondinini, C; Ercoli, V; Boitani, L",Habitat use and preference by polecats (Mustela putorius L.) in a Mediterranean agricultural landscape,Journal Of Zoology,2006,269,2,213-219,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/j.1469-7998.2006.00073.x,Article
232,"Lucherini, M; Lovari, S; Crema, G",Habitat use and ranging behaviour of the red fox (Vulpes vulpes) in a Mediterranean rural area: Is shelter availability a key factor?,Journal Of Zoology,1995,237,4,577-591,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/j.1469-7998.1995.tb05016.x,Article
233,"Schuttler, E; Klenke, R; Galuppo, S; Castro, RA; Bonacic, C; Laker, J; Henle, K",Habitat use and sensitivity to fragmentation in America's smallest wildcat,Mammalian Biology,2017,86,NA,01/Aug,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",1616-5047,10.1016/j.mambio.2016.11.013,Article
234,"Lombardi, L; Fernandez, N; Moreno, S",Habitat use and spatial behaviour in the European rabbit in three Mediterranean environments,Basic And Applied Ecology,2007,8,5,453-463,ELSEVIER GMBH,"HACKERBRUCKE 6, 80335 MUNICH, GERMANY",1439-1791,10.1016/j.baae.2006.09.004,Article
235,"King, SRB; Gurnell, J","Habitat use and spatial dynamics of takhi introduced to Hustai National Park, Mongolia",Biological Conservation,2005,124,2,277-290,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0006-3207,10.1016/j.biocon.2005.01.034,Article
236,"Gottert, T; Schone, J; Zinner, D; Hodges, JK; Boer, M",Habitat use and spatial organisation of relocated black rhinos in Namibia,MAMMALIA,2010,74,1,35-42,Walter de Gruyter,NA,NA,10.1515/MAMM.2010.012,Article
237,"Yarborough, RF; Gist, JA; Loberger, CD; Rosenstock, SS",HABITAT USE BY ABERT'S SQUIRRELS (SCIURUS ABERTI) IN MANAGED FORESTS,Southwestern Naturalist,2015,60,02/Mar,166-170,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.1894/JKF-49.1,Article
238,"Bellantoni, E. S., and P. R. Krausman.",Habitat use by collared peccaries in an urban environment Southwestern Naturalist 38:345-351.,Southwestern Naturalist,1993,38,4,345-351,SOUTHWESTERN ASSN NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.2307/3671613,Article
239,"Kantala, A. T., and S. R. Humphrey.",Habitat use by Sherman's fox squirrel (Sciurus niger shermani) in Florida Journal of Mammalogy 71:411-419.,Journal Of Mammalogy,1990,71,3,411--419,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,10.2307/1381954,Article
240,"Leslie, DM; Soper, RB; Lochmiller, RL; Engle, DM",Habitat use by white-tailed deer on cross timbers rangeland following brush management,Journal Of Range Management,1996,49,5,401-406,SOC RANGE MANAGEMENT,"1839 YORK ST, DENVER, CO 80206",0022-409X,10.2307/4002920,Article
241,"Bertolino, S; di Montezemolo, NC; Perrone, A",Habitat use of coexisting introduced eastern cottontail and native European hare,Mammalian Biology,2013,78,4,235-240,ELSEVIER GMBH,"HACKERBRUCKE 6, 80335 MUNICH, GERMANY",1616-5047,10.1016/j.mambio.2013.02.002,Article
242,"Moore, PR; Risch, TS; Morris, DK; Rolland, V",Habitat use of female gray bats assessed using aerial telemetry,Journal Of Wildlife Management,2017,81,7,1242-1253,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.1002/jwmg.21299,Article
243,"Drygala, F; Stier, N; Zoller, H; Boegelsack, K; Mix, HM; Roth, M",Habitat use of the raccon dog (Nyctereutes procyonoides) in north-eastern Germany,Mammalian Biology,2008,73,5,371-378,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG","OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY",1616-5047,10.1016/j.mambio.2007.09.005,Article
244,"Lahann, P",Habitat utilization of three sympatric cheirogaleid lemur species in a littoral rain forest of southeastern Madagascar,International Journal Of Primatology,2008,29,1,117-134,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-007-9138-4,Article
245,"Fotis, AT; Patel, S; Chavez, AS",Habitat-based isolating barriers are not strong in the speciation of ecologically divergent squirrels (Tamiasciurus douglasii and T. hudsonicus),Behavioral Ecology And Sociobiology,2020,74,3,1--14,Springer,NA,NA,10.1007/s00265-020-2814-5,Article
246,"Phillips, VF; Chambers, BK; Bencini, R","Habitats modified for tourism affect the movement patterns of an endemic marsupial, the Rottnest Island quokka (Setonix brachyurus)",Australian Mammalogy,2020,42,1,48-57,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",0310-0049,10.1071/AM17063,Article
247,"Blanchet, MA; Lydersen, C; Ims, RA; Lowther, AD; Kovacs, KM","Harbour seal Phoca vitulina movement patterns in the high-Arctic archipelago of Svalbard, Norway",Aquatic Biology,2014,21,3,167-181,INTER-RESEARCH,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",1864-7790,10.3354/ab00580,Article
248,"Lowther, AD; Goldsworthy, SD",Head start: Australian sea lion pups gain experience of adult foraging grounds before weaning,Marine Biology,2012,159,12,2687-2696,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",0025-3162,10.1007/s00227-012-2026-2,Article
249,"McLoughlin, PD; Case, RL; Gau, RJ; Cluff, HD; Mulders, R; Messier, F",Hierarchical habitat selection by barren-ground grizzly bears in the central Canadian Arctic,Oecologia,2002,132,1,102-108,SPRINGER-VERLAG,"175 FIFTH AVE, NEW YORK, NY 10010 USA",0029-8549,10.1007/s00442-002-0941-5,Article
250,"Oleksy, R; Racey, PA; Jones, G",High-resolution GPS tracking reveals habitat selection and the potential for long-distance seed dispersal by Madagascan flying foxes Pteropus rufus,Global Ecology And Conservation,2015,3,NA,678-692,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",2351-9894,10.1016/j.gecco.2015.02.012,Article
251,"du Toit, J. T.",Home range - body mass relations: a field study on African browsing ruminants Oecologia 85:301-303.,Oecologia,1990,85,2,301-303,SPRINGER VERLAG,"175 FIFTH AVE, NEW YORK, NY 10010",0029-8549,10.1007/BF00319416,Note
252,"Bradley, W. G.","Home range activity patterns, and ecology of the antelope ground squirrel in southern Nevada South West Naturalist 12:231-252.",The Southwestern Naturalist,1967,NA,NA,231--251,JSTOR,NA,NA,10.2307/3669112,Article
253,"Wilson, JA; Kelt, DA; Van Vuren, DH",Home range and activity of northern flying squirrels (Glaucomys sabrinus) in the sierra nevada,Southwestern Naturalist,2008,53,1,21-28,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.1894/0038-4909(2008)53[21:HRAAON]2.0.CO;2,Article
254,"Smith, G. W.",Home range and activity patterns of black-tailed jackrabbits Great Basin Naturalist 50:249-256.,Great Basin Naturalist,1990,50,3,249-256,BRIGHAM YOUNG UNIV,"290 LIFE SCIENCE MUSEUM, PROVO, UT 84602",0017-3614,https://www.jstor.org/stable/41712598?seq=1,Article
255,"Cavalcanti, GN; Alfaro-Alvarado, LD; Rodrigues, FHG","Home range and activity patterns of Conepatus semistriatus (Carnivora, Mephitidae) in Emas National Park, Brazil",Animal Biology,2014,64,2,151-162,BRILL ACADEMIC PUBLISHERS,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS",1570-7555,10.1163/15707563-00002436,Article
256,"Rodrigues, FHG; Monteiro, ELA","Home range and activity patterns of pampas deer in Emas National Park, Brazil",Journal Of Mammalogy,2000,81,4,1136-1142,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602 USA",0022-2372,10.1644/1545-1542(2000)081<1136:HRAAPO>2.0.CO;2,Article
257,"PHILLIPS, M; CATLING, PC",HOME RANGE AND ACTIVITY PATTERNS OF RED FOXES IN NADGEE NATURE-RESERVE,Wildlife Research,1991,18,6,677-686,C S I R O PUBLICATIONS,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR9910677,Article
258,"Harper, MJ",Home range and den use of common brushtail possums (Trichosurus vulpecula) in urban forest remnants,Wildlife Research,2005,32,8,681-687,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",1035-3712,10.1071/WR04072,Article
259,"Robbins, MM; McNeilage, A","Home range and frugivory patterns of mountain gorillas in Bwindi Impenetrable National Park, Uganda",International Journal Of Primatology,2003,24,3,467-491,KLUWER ACADEMIC/PLENUM PUBL,"233 SPRING ST, NEW YORK, NY 10013 USA",0164-0291,10.1023/A:1023741328338,Article
260,"Kennerley, RJ; Nicoll, MAC; Butler, SJ; Young, RP; Nunez-Mino, JM; Brocca, JL; Turvey, ST",Home range and habitat data for Hispaniolan mammals challenge assumptions for conservation management,Global Ecology And Conservation,2019,18,NA,NA,ELSEVIER SCIENCE BV,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",2351-9894,10.1016/j.gecco.2019.e00640,Article
261,"Morse, BW; Nibbelink, NP; Osborn, DA; Miller, KV","Home range and habitat selection of an insular fallow deer (Dama dama L.) population on Little St. Simons Island, Georgia, USA",European Journal Of Wildlife Research,2009,55,4,325-332,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",1612-4642,10.1007/s10344-008-0245-0,Article
262,"Broomhall, LS; Mills, MGL; du Toit, JT",Home range and habitat use by cheetahs (Acinonyx jubatus) in the Kruger National Park,Journal Of Zoology,2003,261,2,119-128,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1017/S0952836903004059,Article
263,"Newell, GR",Home range and habitat use by Lumholtz's tree-kangaroo (Dendrolagus lumholtzi) within a rainforest fragment in north Queensland,WILDLIFE RESEARCH,1999,26,2,129-145,C S I R O PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR98016,Article
264,"Benavides, C; Arce, A; Pacheco, LF",Home range and habitat use by pacas in a montane tropical forest in Bolivia,Acta Amazonica,2017,47,3,227-235,INST NACIONAL PESQUISAS AMAZONIA,"CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, AMAZONAS 00000",0044-5967,10.1590/1809-4392201603163,Article
265,"Robinson, M. & Stebbings, R.","Home range and habitat use by the serotine bat, Eptesicus serotinus, in England Journal of Zoology, 243, 117-136.",Journal Of Zoology,1997,243,1,117-136,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/j.1469-7998.1997.tb05759.x,Article
266,"Menzel, MA; Menzel, JM; Ford, WM; Edwards, JW; Carter, TC; Churchill, JB; Kilgo, JC",Home range and habitat use of male Rafinesque's big-eared bats (Corynorhinus rafinesquii),American Midland Naturalist,2001,145,2,402-408,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556 USA",0003-0031,10.1674/0003-0031(2001)145[0402:HRAHUO]2.0.CO;2,Article
267,"List, R; Macdonald, DW",Home range and habitat use of the kit fox (Vulpes macrotis) in a prairie dog (Cynomys ludovicianus) complex,Journal Of Zoology,2003,259,1,01/May,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1017/S0952836902002959,Article
268,"Menzel, JM; Ford, WM; Edwards, JW; Terry, TM","Home range and habitat use of the Vulnerable Virginia northern flying squirrel Glaucomys sabrinus fuscus in the Central Appalachian Mountains, USA",Oryx,2006,40,2,204-210,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",0030-6053,10.1017/S0030605306000494,Article
269,"Mastro, LL; Morin, DJ; Gese, EM",Home Range and Habitat Use of West Virginia Canis latrans (Coyote),Northeastern Naturalist,2019,26,3,616-628,HUMBOLDT FIELD RESEARCH INST,"PO BOX 9, STEUBEN, ME 04680-0009 USA",1092-6194,10.1656/045.026.0318,Article
270,"Connell, J. H.",Home range and mobility of brush rabbits in California chaparral Journal of Mammalogy 35:392-405.,Journal Of Mammalogy,1954,35,3,392-405,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1375964,Article
271,"Rhoads, CL; Bowman, JL; Eyler, B",Home Range and Movement Rates of Female Exurban White-Tailed Deer,Journal Of Wildlife Management,2010,74,5,987-994,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2193/2009-005,Article
272,"Hayward, MW; de Tores, PJ; Augee, ML; Fox, BJ; Banks, PB","Home range and movements of the quokka Setonix brachyurus (Macropodidae : Marsupialia), and its impact on the viability of the metapopulation on the Australian mainland",Journal Of Zoology,2004,263,3,219-228,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1017/S0952836904005060,Article
273,"Morzillo, AT; Feldhamer, GA; Nicholson, MC",Home range and nest use of the golden mouse (Ochrotomys nuttalli) in Southern Illinois,Journal Of Mammalogy,2003,84,2,553-560,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/1545-1542(2003)084<0553:HRANUO>2.0.CO;2,Article
274,"Ren, BP; Li, M; Long, YC; Wu, RD; Wei, FW",Home range and seasonality of Yunnan snub-nosed monkeys,Integrative Zoology,2009,4,2,162-171,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1749-4877,10.1111/j.1749-4877.2009.00153.x,Article
275,"de Oliveira, CF; Rosa, CA; Passamani, M","Home range and shelter preferences of marsupial Didelphis aurita (Wied-Neuwied, 1826) in a fragmented area in southeastern Brazil",Mammalia,2015,79,2,237-240,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY",0025-1461,10.1515/mammalia-2013-0179,Article
276,"Lynch, M. F., A. L. Fesnock, and D. Van Vuren.",Home range and social structure of the dusky-footed woodrat (Neotoma fuscipes) Northwestern Naturalist 75:73-75.,Northwestern Naturalist,1994,75,2,73--75,JSTOR,NA,NA,10.2307/3536768,Article
277,"Jacomo, ATD; Kashivakura, CK; Ferro, C; Furtado, MM; Astete, SP; Torres, NM; Sollmann, R; Silveira, L",HOME RANGE AND SPATIAL ORGANIZATION OF MANED WOLVES IN THE BRAZILIAN GRASSLANDS,Journal Of Mammalogy,2009,90,1,150--157,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence~…",NA,NA,10.1644/07-MAMM-A-380.1,Article
278,"Connior, MB; Risch, TS",Home Range and Survival of the Ozark Pocket Gopher (Geomys bursarius ozarkensis) in Arkansas,American Midland Naturalist,2010,164,1,80-90,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556 USA",0003-0031,10.1674/0003-0031-164.1.80,Article
279,"Winkelmann, J.R., Bonaccorso, F.J., Goedeke, E.E. & Ballock, L.J.","Home range and territoriality in the least blossom bat, Macroglossus minimus, in Papua New Guinea Journal of Mammalogy, 84, 561-570.",Journal Of Mammalogy,2003,84,2,561-570,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1644/1545-1542(2003)084<0561:HRATIT>2.0.CO;2,Article
280,"Rathbun, GB; Dumbacher, JP","Home range and use of diurnal shelters by the Etendeka round-eared sengi, a newly discovered Namibian endemic desert mammal",Peerj,2015,3,NA,NA,PEERJ INC,"341-345 OLD ST, THIRD FLR, LONDON, EC1V 9LL, ENGLAND",2167-8359,10.7717/peerj.1302,Article
281,"Rossi, I; Lamberti, P; Mauri, L; Apollonio, M",Home range dynamics of male roe deer Capreolus capreolus in a mountainous habitat,Acta Theriologica,2003,48,3,425-432,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",0001-7051,10.1007/BF03194180,Article
282,"Boyle, SA; Lourenco, WC; da Silva, LR; Smith, AT",Home Range Estimates Vary with Sample Size and Methods,Folia Primatologica,2009,80,1,33-42,KARGER,"ALLSCHWILERSTRASSE 10, CH-4009 BASEL, SWITZERLAND",0015-5713,10.1159/000201092,Article
283,"Wise, D. H.","Home range of a wandering shrew, Sorex vagrans, by tracking Journal of Mammalogy 48:490-492.",Journal Of Mammalogy,1967,48,3,490-\&,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",0022-2372,10.2307/1377798,Note
284,"Bonaccorso, F.J., Winkelmann, J.R., Dumont, E.R. & Thibault, K.","Home Range of Dobsonia minor (Pteropodidae): A Solitary, Foliage-roosting Fruit Bat in Papua New Guinea Biotropica, 34, 127-135.",Biotropica,2002,34,1,127-135,ASSOC TROPICAL BIOLOGY INC,"810 EAST 10TH ST, LAWRENCE, KS 66044 USA",0006-3606,10.1111/j.1744-7429.2002.tb00248.x,Article
285,"Eiris, GC; Barreto, GR","HOME RANGE OF MARSH RATS, Holochilus sciureus, A RODENT PEST IN RICE FIELDS OF VENEZUELA",Interciencia,2009,34,6,400-405,INTERCIENCIA,"APARTADO 51842, CARACAS 1050A, VENEZUELA",0378-1844,NA,Article
286,"Devillard, S; Aubineau, J; Berger, F; Leonard, Y; Roobrouck, A; Marchandeau, S",Home range of the European rabbit (Oryctolagus cuniculus) in three contrasting French populations,Mammalian Biology,2008,73,2,128--137,Springer,NA,NA,10.1016/j.mambio.2007.01.003,Article
287,"Winkelmann, JR; Bonaccorso, FJ; Strickler, TL","Home range of the southern blossom bat, Syconycteris australis, in Papua New Guinea",Journal Of Mammalogy,2000,81,2,408-414,AMER SOC MAMMALOGISTS,"BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602 USA",0022-2372,10.1644/1545-1542(2000)081<0408:HROTSB>2.0.CO;2,Article
288,"van der Ree, R; Bennett, AE",Home range of the squirrel glider (Petaurus norfolcensis) in a network of remnant linear habitats,Journal Of Zoology,2003,259,4,327-336,CAMBRIDGE UNIV PRESS,"40 WEST 20TH ST, NEW YORK, NY 10011-4221 USA",0952-8369,10.1017/S0952836902003229,Article
289,"GEORGII, B",HOME RANGE PATTERNS OF FEMALE RED DEER (CERVUS-ELAPHUS L) IN THE ALPS,Oecologia,1980,47,2,278-285,SPRINGER VERLAG,"175 FIFTH AVE, NEW YORK, NY 10010",0029-8549,10.1007/BF00346833,Article
290,"Davini, S; Ciuti, S; Luccarini, S; Apollonio, M",Home range patterns of male fallow deer Dama dama in a sub-Mediterranean habitat,Acta Theriologica,2004,49,3,393-404,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",0001-7051,10.1007/BF03192537,Article
291,"Elizalde-Arellano, C; Lopez-Vidal, JC; Hernandez, L; Laundre, JW; Cervantes, FA; Alonso-Spilsbury, M","Home Range Size and Activity Patterns of Bobcats (Lynx rufus) in the Southern Part of their Range in the Chihuahuan Desert, Mexico",American Midland Naturalist,2012,168,2,247-264,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556 USA",0003-0031,NA,Article
292,"Heath, M. E., and I. M. Coulson.","Home range size and distribution in a wild population of Cape pangolins, Manis temminckii, in north-west Zimbabwe African Journal of Ecology 35:94-109.",African Journal Of Ecology,1997,35,2,94-109,BLACKWELL SCIENCE LTD,"P O BOX 88, OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0NE",0141-6707,10.1111/j.1365-2028.1997.080-89080.x,Article
293,"Albernaz, ALKM",Home range size and habitat use in the black lion tamarin (Leontopithecus chrysopygus),International Journal Of Primatology,1997,18,6,877-887,PLENUM PUBL CORP,"233 SPRING ST, NEW YORK, NY 10013 USA",0164-0291,10.1023/A:1026387912013,Article
294,"Saiful, A. A., A. H. Idris, Y. N. Rashid, N. Tamura, and F. Hayashi.",Home range size of sympatric squirrel species inhabiting a lowland dipterocarp forest in Malaysia Biotropica 33:346-351.,Biotropica,2001,33,2,346-351,ASSOC TROPICAL BIOLOGY INC,"810 EAST 10TH ST, LAWRENCE, KS 66044 USA",0006-3606,10.1646/0006-3606(2001)033[0346:HRSOSS]2.0.CO;2,Article
295,"Gardiner, R; Proft, K; Comte, S; Jones, M; Johnson, CN",Home range size scales to habitat amount and increasing fragmentation in a mobile woodland specialist,Ecology And Evolution,2019,9,24,14005-14014,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",2045-7758,10.1002/ece3.5837,Article
296,"Penzhorn, B. L.",Home range sizes of Cape mountain zebras Equus zebra zebra in the Mountain zebra national park Koedoe 25:103-108.,Koedoe,1982,25,1,103--108,NA,NA,NA,10.4102/koedoe.v25i1.608,Article
297,"CATT, DC; STAINES, BW",HOME RANGE USE AND HABITAT SELECTION BY RED DEER (CERVUS-ELAPHUS) IN A SITKA SPRUCE PLANTATION AS DETERMINED BY RADIO-TRACKING,Journal Of Zoology,1987,211,4,681-693,OXFORD UNIV PRESS UNITED KINGDOM,"WALTON ST JOURNALS DEPT, OXFORD, ENGLAND OX2 6DP",0952-8369,10.1111/j.1469-7998.1987.tb04479.x,Article
298,"Lehmann, MB; Funston, PJ; Owen, CR; Slotow, R","Home Range Utilisation and Territorial Behaviour of Lions (Panthera leo) on Karongwe Game Reserve, South Africa",Plos One,2008,3,12,NA,PUBLIC LIBRARY SCIENCE,"185 BERRY ST, STE 1300, SAN FRANCISCO, CA 94107 USA",1932-6203,10.1371/journal.pone.0003998,Article
299,"Gorosito, I; Benitez, A; Busch, M","Home range variability, spatial aggregation, and excursions ofAkodon azaraeandOligoryzomys flavescensin Pampean agroecosystems",Integrative Zoology,2020,15,5,401-415,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1749-4877,10.1111/1749-4877.12437,Article
300,"Moseby, KE; De Jong, S; Munro, N; Pieck, A","Home range, activity and habitat use of European rabbits (Oryctolagus cuniculus) in arid Australia: implications for control",Wildlife Research,2005,32,4,305--311,CSIRO Publishing,NA,NA,10.1071/WR04013,Article
301,"Andelt, W. F., and P. S. Gipson.","Home range, activity, and daily movements of coyotes Journal of Wildlife Management 43:944-951.",Journal of Wildlife Management ,1979,43,NA,944-951,NA,NA,NA,10.2307/3808278,Article
302,"COMAN, BJ; ROBINSON, J; BEAUMONT, C","HOME RANGE, DISPERSAL AND DENSITY OF RED FOXES (VULPES-VULPES L) IN CENTRAL VICTORIA",Wildlife Research,1991,18,2,215-223,C S I R O PUBLICATIONS,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR9910215,Article
303,"Murray, M. G.","Home range, dispersal and the clan system of impala African Journal of Ecology 20:253-269.",African Journal Of Ecology,1982,20,4,253-269,BLACKWELL SCIENCE LTD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0141-6707,10.1111/j.1365-2028.1982.tb00301.x,Article
304,"Hellstedt, P; Henttonen, H","Home range, habitat choice and activity of stoats (Mustela erminea) in a subarctic area",Journal Of Zoology,2006,269,2,205-212,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/j.1469-7998.2006.00072.x,Article
305,"Nakamoto, A; Nakanishi, N","Home range, habitat selection, and activity of male Asian house shrews, Suncus murinus, on Okinawa-jima Island",Mammal Study,2013,38,3,147-153,MAMMALOGICAL SOC JAPAN,"C/O NAKANISHI PRINTING CO, LTD, KAMIGYO-KU, KYOTO, 602-8048, JAPAN",1343-4152,10.3106/041.038.0303,Article
