Study_ID,Species,subspecies,AUTHORS,TITLE,JOURNAL,YEAR,VOLUME,NUMBER,PAGES,PUBLISHER,ADDRESS,ISSN,DOI_OR_LINK,type
6864,Chiropotes satanas,chiropotes,"Boyle, SA; Lourenco, WC; da Silva, LR; Smith, AT",Travel and Spatial Patterns Change When Chiropotes satanas chiropotes Inhabit Forest Fragments,International Journal Of Primatology,2009,30,4,515-531,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-009-9357-y,Article
6872,Papio ursinus,NA,"Henzi, SP; Brown, LR; Barrett, L; Marais, AJ","Troop Size, Habitat Use, and Diet of Chacma Baboons (Papio hamadryas ursinus) in Commercial Pine Plantations: Implications for Management",International Journal Of Primatology,2011,32,4,1020-1032,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-011-9519-6,Article
6873,Macaca fuscata,NA,"Izumiyama, S; Mochizuki, T; Shiraishi, T","Troop size, home range area and seasonal range use of the Japanese macaque in the Northern Japan Alps",Ecological Research,2003,18,5,465-474,BLACKWELL PUBLISHING ASIA,"54 UNIVERSITY ST, P O BOX 378, CARLTON, VICTORIA 3053, AUSTRALIA",0912-3814,10.1046/j.1440-1703.2003.00570.x,Article
6878,Meles meles,NA,"Acevedo, P; Prieto, M; Quiros, P; Merediz, I; de Juan, L; Infantes-Lorenzo, JA; Triguero-Ocana, R; Balseiro, A",Tuberculosis Epidemiology and Badger (Meles meles) Spatial Ecology in a Hot-Spot Area in Atlantic Spain,Pathogens,2019,8,4,NA,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,10.3390/pathogens8040292,Article
6887,Hyemoschus aquaticus,NA,"Dubost, G.","Un apercu sur l'ecologie du chevrotain africain, Hyemoschus aquaticus Ogilby (Artiodactyle Tragulide) Mammalia 42:1-62 Cited in Emmons 1983.",Mammalia,1978,42,NA,Jan/62,"Walter de Gruyter, Berlin/New York Berlin, New York",NA,NA,10.1515/mamm.1978.42.1.1,Article
6903,Panthera pardus,pardus,"Naude, VN; Balme, GA; O'Riain, J; Hunter, LTB; Fattebert, J; Dickerson, T; Bishop, JM",Unsustainable anthropogenic mortality disrupts natal dispersal and promotes inbreeding in leopards,Ecology And Evolution,2020,10,8,3605-3619,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",2045-7758,10.1002/ece3.6089,Article
6917,Caluromys philander,NA,"Lira, PK; Fernandez, FAD; Carlos, HSA; Curzio, PD",Use of a fragmented landscape by three species of opossum in south-eastern Brazil,Journal Of Tropical Ecology,2007,23,4,427-435,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",0266-4674,10.1017/S0266467407004142,Article
6940,Sus scrofa,NA,"Nugent, G; Whitford, J; Young, N",Use of released pigs as sentinels for Mycobacterium bovis,Journal Of Wildlife Diseases,2002,38,4,665-677,"WILDLIFE DISEASE ASSN, INC","810 EAST 10TH ST, LAWRENCE, KS 66044-8897 USA",0090-3558,10.7589/0090-3558-38.4.665,Article
6961,Xerus erythropus,NA,"Linn, I; Key, G",Use of space by the African Striped Ground Squirrel Xerus erythropus,Mammal Review,1996,26,1,Sep/26,BLACKWELL SCIENCE LTD,"OSNEY MEAD, OXFORD, OXON, ENGLAND OX2 0EL",0305-1838,10.1111/j.1365-2907.1996.tb00144.x,Article
6962,Didelphis aurita,NA,"Cerboncini, RAS; Passamani, M; Braga, TV",Use of space by the black-eared opossum Didelphis aurita in a rural area in southeastern Brazil,Mammalia,2011,75,3,287-290,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY",0025-1461,10.1515/MAMM.2011.024,Article
7000,Glaucomys volans,NA,"Stone, KD; Heidt, GA; Caster, PT; Kennedy, ML",Using Geographic Information Systems to determine home range of the southern flying squirrel (Glaucomys volans),American Midland Naturalist,1997,137,1,106-111,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556",0003-0031,10.2307/2426759,Article
7003,Macropus giganteus,NA,"Henderson, T; Vernes, K; Kortner, G; Rajaratnam, R",Using GPS Technology to Understand Spatial and Temporal Activity of Kangaroos in a Peri-Urban Environment,Animals,2018,8,6,NA,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",2076-2615,10.3390/ani8060097,Article
7008,Halichoerus grypus,NA,"Oksanen, SM; Ahola, MP; Lehtonen, E; Kunnasranta, M",Using movement data of Baltic grey seals to examine foraging-site fidelity: implications for seal-fishery conflict mitigation,Marine Ecology Progress Series,2014,507,NA,297-308,INTER-RESEARCH,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",0171-8630,10.3354/meps10846,Article
7043,Fukomys anselli,NA,"Skliba, J; Lovy, M; Burda, H; Sumbera, R","Variability of space-use patterns in a free living eusocial rodent, Ansell's mole-rat indicates age-based rather than caste polyethism",Scientific Reports,2016,6,NA,NA,NATURE PUBLISHING GROUP,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",2045-2322,10.1038/srep37497,Article
7051,Colobus guereza,NA,"Harris, TR; Chapman, CA","Variation in diet and ranging of black and white colobus monkeys in Kibale National Park, Uganda",Primates,2007,48,3,208-221,SPRINGER JAPAN KK,"SHIROYAMA TRUST TOWER 5F, 4-3-1 TORANOMON, MINATO-KU, TOKYO, 105-6005",0032-8332,10.1007/s10329-006-0036-8,Article
7057,Vulpes vulpes,NA,"Walton, Z; Samelius, G; Odden, M; Willebrand, T",Variation in home range size of red foxes Vulpes vulpes along a gradient of productivity and human landscape alteration,Plos One,2017,12,4,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0175291,Article
7140,Odocoileus virginianus,NA,"Tannenbaum, LV; Gulsby, WD; Zobel, SS; Miller, KV",Where Deer Roam: Chronic Yet Acute Site Exposures Preclude Ecological Risk Assessment,Risk Analysis,2013,33,5,789-799,WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0272-4332,10.1111/j.1539-6924.2012.01890.x,Article
7144,Ceratotherium simum,simum,"Pienaar, D. J., J. du P. Bothma, and G. K. Theron.",White rhinoceros range size in the south-western Kruger National Park Journal of Zoology 229:641-649.,Journal Of Zoology,1993,229,4,641-649,OXFORD UNIV PRESS UNITED KINGDOM,"WALTON ST JOURNALS DEPT, OXFORD, ENGLAND OX2 6DP",0952-8369,10.1111/j.1469-7998.1993.tb02661.x,Article
7174,Taxidea taxus,NA,"Symes, SA; Klafki, R; Packham, R; Larsen, KW",Winter activity patterns of the North American badger (Taxidea taxus) at its northwestern periphery,Journal Of Mammalogy,2020,101,1,199-210,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyz171,Article
7187,Glaucomys sabrinus,NA,"Cotton, CL; Parker, KL",Winter habitat and nest trees used by northern flying squirrels in subboreal forests,Journal Of Mammalogy,2000,81,4,1071-1086,ALLIANCE COMMUNICATIONS GROUP DIVISION ALLEN PRESS,"810 EAST 10TH STREET, LAWRENCE, KS 66044 USA",0022-2372,10.1644/1545-1542(2000)081<1071:WHANTU>2.0.CO;2,Article
7193,Vombatus ursinus,NA,"Green, K","Winter home range and foraging of common wombats (Vombatus ursinus) in patchily burnt subalpine areas of the Snowy Mountains, Australia",Wildlife Research,2005,32,6,525-529,C S I R O PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR04079,Article
7195,Panthera uncia,NA,"Oli, M. K.",Winter home range of snow leopards in Nepal Mammalia 61:355-360.,Mammalia,1997,61,3,355-360,MUSEUM NAT HIST NATURELLE,"55 RUE DE BUFFON, 75005 PARIS, FRANCE",0025-1461,https://www.snowleopardnetwork.org/bibliography/Oli_Nepal_1997.pdf,Article
7199,Martes americana,NA,"Dumyahn, JB; Zollner, PA; Gilbert, JH",Winter home-range characteristics of American marten (Martes americana) in northern Wisconsin,American Midland Naturalist,2007,158,2,382-394,AMER MIDLAND NATURALIST,"UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556 USA",0003-0031,10.1674/0003-0031(2007)158[382:WHCOAM]2.0.CO;2,Article
7204,Vulpes vulpes,NA,"Frafjord, K",Winter range of a red fox (Vulpes vulpes) group in a northern birch forest,Mammalian Biology,2004,69,5,342-348,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG","OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY",1616-5047,10.1078/1616-5047-00153,Article
6985,Alces alces,NA,"Ofstad, EG; Herfindal, I; Solberg, EJ; Heim, M; Rolandsen, CM; Saether, BE","Use,selection, and home range properties: complex patterns of individual habitat utilization",Ecosphere,2019,10,4,NA,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",2150-8925,10.1002/ecs2.2695,Article
7005,Gorilla beringei,beringei,"Seiler, N; Robbins, MM",Using long-term ranging patterns to assess within-group and between-group competition in wild mountain gorillas,Bmc Ecology,2020,20,1,NA,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",NA,10.1186/s12898-020-00306-6,Article
7010,Sus scrofa,NA,"Froehly, JL; Beane, NR; Evans, DE; Cagle, KE; Jachowski, DS",Using multi-scale behavioral investigations to inform wild pig (Sus scrofa) population management,Plos One,2020,15,2,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0228705,Article
7017,Laonastes aenigmamus,NA,"Khotpathoom, T; Vu, TT; Bhumpakphan, N; Sukmasuang, R; Bumrungsri, S",Using radiotelemetry to identify the home range and daily movement of a living fossil: the Laotian rock rat (Laonastes aenigmamus),Mammalian Biology,2020,100,4,377-384,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",1616-5047,10.1007/s42991-020-00039-5,Article
7059,Microtus ochrogaster,NA,"Ophir, AG; Wolff, JO; Phelps, SM",Variation in neural V1aR predicts sexual fidelity and space use among male prairie voles in semi-natural settings,Proceedings Of The National Academy Of Sciences Of The United States Of,2008,105,4,1249-1254,NATL ACAD SCIENCES,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",0027-8424,10.1073/pnas.0709116105,Article
7082,Dama dama,NA,"Bergvall, UA; Svensson, L; Kjellander, P",Vigilance adjustments in relation to long- and short term risk in wild fallow deer (Dama dama),Behavioural Processes,2016,128,NA,58-63,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0376-6357,10.1016/j.beproc.2016.04.005,Article
7092,Lynx lynx,NA,"Odden, J; Herfindal, I; Linnell, JDC; Andersen, R",Vulnerability of domestic sheep to lynx depredation in relation to roe deer density,Journal Of Wildlife Management,2008,72,1,276-282,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2193/2005-537,Article
7110,Mustela nivalis,NA,"JEDRZEJEWSKI, W; JEDRZEJEWSKA, B; SZYMURA, L","WEASEL POPULATION RESPONSE, HOME-RANGE, AND PREDATION ON RODENTS IN A DECIDUOUS FOREST IN POLAND",Ecology,1995,76,1,179-195,ECOLOGICAL SOC AMER,"ARIZONA STATE UNIV CENTER ENVIRONMENTAL STUDIES, TEMPE, AZ 85287",0012-9658,10.2307/1940640,Article
7116,Macropus fuliginosus,NA,"Chachelle, PD; Chambers, BK; Bencini, R; Maloney, SK",Western grey kangaroos (Macropus fuliginosus) include fauna underpasses in their home range,Wildlife Research,2016,43,1,13-19,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",1035-3712,10.1071/WR15124,Article
7139,Alouatta seniculus,NA,"Orihuela, G; Terborgh, J; Ceballos, N; Glander, K",When Top-Down Becomes Bottom Up: Behaviour of Hyperdense Howler Monkeys (Alouatta seniculus) Trapped on a 0.6 Ha Island,Plos One,2014,9,4,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0082197,Article
7147,Nasua narica,NA,"McColgin, ME; Koprowski, JL; Waser, PM",White-nosed coatis in Arizona: tropical carnivores in a temperate environment,Journal Of Mammalogy,2018,99,1,64-74,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyx153,Article
7158,Rhinopithecus bieti,NA,"Quan, RC; Ren, GP; Behm, JE; Wang, L; Huang, Y; Long, YC; Zhu, JG",Why Does Rhinopithecus bieti Prefer the Highest Elevation Range in Winter? A Test of the Sunshine Hypothesis,Plos One,2011,6,9,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0024449,Article
7169,Odocoileus virginianus,NA,"Cherry, MJ; Chandler, RB; Garrison, EP; Crawford, DA; Kelly, BD; Shindle, DB; Godsea, KG; Miller, KV; Conner, LM",Wildfire affects space use and movement of white-tailed deer in a tropical pyric landscape,Forest Ecology And Management,2018,409,NA,161-169,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0378-1127,10.1016/j.foreco.2017.11.007,Article
7186,Phocarctos hookeri,NA,"Chilvers, BL; Childerhouse, SJ; Gales, NJ",Winter foraging behaviour of lactating New Zealand sea lions (Phocarctos hookeri),New Zealand Journal Of Marine And Freshwater Research,2013,47,2,125-138,TAYLOR \& FRANCIS LTD,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0028-8330,10.1080/00288330.2012.752755,Article
7210,Oreamnos americanus,NA,"Poole, KG; Stuart-Smith, K; Teske, IE",Wintering strategies by mountain goats in interior mountains,Canadian Journal Of Zoology,2009,87,3,273--283,NA,NA,NA,10.1139/Z09-009,Article
3695,Sciurus vulgaris,NA,"Romeo, C; Wauters, LA; Preatoni, D; Tosi, G; Martinoli, A",Living on the edge: Space use of Eurasian red squirrels in marginal high-elevation habitat,Acta Oecologica-International Journal Of Ecology,2010,36,6,604-610,GAUTHIER-VILLARS/EDITIONS ELSEVIER,"23 RUE LINOIS, 75015 PARIS, FRANCE",1146-609X,10.1016/j.actao.2010.09.005,Article
1548,Apodemus flavicollis,NA,"Tioli, S; Cagnacci, F; Stradiotto, A; Rizzoli, A",Edge Effect on Density Estimates of a Radiotracked Population of Yellow-Necked Mice,Journal Of Wildlife Management,2009,73,2,184-190,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2193/2007-324,Article
782,Rhinopithecus bieti,NA,"Grueter, CC; Li, DY; Ren, BP; Wei, FW",Choice of analytical method can have dramatic effects on primate home range estimates,Primates,2009,50,1,81-84,SPRINGER JAPAN KK,"CHIYODA FIRST BLDG EAST, 3-8-1 NISHI-KANDA, CHIYODA-KU, TOKYO, 101-0065",0032-8332,10.1007/s10329-008-0113-2,Article
804,Nycticebus javanicus,NA,"Nekaris, KAI; Poindexter, S; Reinhardt, KD; Sigaud, M; Cabana, F; Wirdateti, W; Nijman, V","Coexistence between Javan Slow Lorises (Nycticebus javanicus) and Humans in a Dynamic Agroforestry Landscape in West Java, Indonesia",International Journal Of Primatology,2017,38,2,303-320,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",0164-0291,10.1007/s10764-017-9960-2,Article
167,Leontopithecus chrysomelas,NA,"Oliveira, LC; Neves, LG; Raboy, BE; Dietz, JM",Abundance of Jackfruit (Artocarpus heterophyllus) Affects Group Characteristics and Use of Space by Golden-Headed Lion Tamarins (Leontopithecus chrysomelas) in Cabruca Agroforest,Environmental Management,2011,48,2,248-262,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0364-152X,10.1007/s00267-010-9582-3,Article
1580,Odocoileus virginianus,NA,"Cooper, SM; Owens, MK; Cooper, RM; Ginnett, TF",Effect of supplemental feeding on spatial distribution and browse utilization by white-tailed deer in semi-arid rangeland,Journal Of Arid Environments,2006,66,4,716-726,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",0140-1963,10.1016/j.jaridenv.2005.11.015,Article
2993,Pecari tajacu,NA,"Schweinsburg, R. E.","Home range, movements, and herd integrity of the collared peccary. Journal of Wildlife Management 35:45-460",The Journal Of Wildlife Management,1971,NA,NA,455--460,JSTOR,NA,NA,10.2307/3799698,Article
2656,Cervus canadensis,NA,"Bender, LC; Baldwin, RA; Piasecke, JR",HABITATS OCCUPIED BY ELK (CERVUS ELAPHUS) IN DESERT GRASSLAND-SCRUBLANDS OF NORTHWESTERN NEW MEXICO,Southwestern Naturalist,2012,57,4,361-369,SOUTHWESTERN ASSOC NATURALISTS,"SOUTHWEST TEXAS STATE UNIV, DEPT BIOLOGY, 601 UNIVERSITY DR, SAN MARCOS",0038-4909,10.1894/0038-4909-57.4.361,Article
2548,Myotis dasycneme,NA,"Ciechanowski, M; Zapart, A; Kokurewicz, T; Rusinski, M; Lazarus, M",Habitat selection of the pond bat (Myotis dasycneme) during pregnancy and lactation in northern Poland,Journal Of Mammalogy,2017,98,1,232-245,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0022-2372,10.1093/jmammal/gyw108,Article
3,Pseudocheirus occidentalis,NA,"Chandler, CJ; Van Helden, BE; Close, PG; Speldewinde, PC",2D or not 2D? Three-dimensional home range analysis better represents space use by an arboreal mammal,Acta Oecologica,2020,105,NA,103576,Elsevier,NA,NA,10.1016/j.actao.2020.103576,Article
972,Puma concolor,NA,"Spreadbury, BR; Musil, K; Musil, J; Kaisner, C; Kovak, J",Cougar population characteristics in southeastern British Columbia,Journal Of Wildlife Management,1996,60,4,962-969,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197",0022-541X,10.2307/3802398,Article
2066,Capra hircus,NA,"O'Brien, P. H.",Feral goat home range: influence of social class and environmental variables Applied Animal Behaviour Science 12:373-385.,Applied Animal Behaviour Science,1984,12,4,373-385,ELSEVIER SCIENCE BV,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0168-1591,10.1016/0168-1591(84)90129-1,Article
349,Lepus europaeus,NA,"Misiorowska, M","Annual and seasonal home range and distances of movements of released hares (Lepus europaeus Pallas, 1778) in Central Poland",Folia Zoologica,2013,62,2,133-142,INST VERTEBRATE BIOLOGY AS CR,"KVETNA 8, BRNO 603 65, CZECH REPUBLIC",0139-7893,NA,Article
2726,Leopardus guttulus,NA,"Kasper, CB; Schneider, A; Oliveira, TG","Home range and density of three sympatric felids in the Southern Atlantic Forest, Brazil",Brazilian Journal Of Biology,2016,76,1,228-232,INT INST ECOLOGY,"RUA BENTO CARLOS, 750 - CENTRO, SAO CARLOS, SP 00000, BRAZIL",1519-6984,10.1590/1519-6984.19414,Article
2157,Parahyaena brunnea,NA,"Maude, G; Reading, RP; Harris, S",Fluctuating food resources and home ranges in brown hyaenas living in a semi-arid environment,Journal Of Zoology,2019,307,1,53-60,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0952-8369,10.1111/jzo.12618,Article
3410,Didelphis virginiana,NA,"Wright, JD; Burt, MS; Jackson, VL",Influences of an Urban Environment on Home Range and Body Mass of Virginia Opossums (Didelphis virginiana),Northeastern Naturalist,2012,19,1,77-86,HUMBOLDT FIELD RESEARCH INST,"PO BOX 9, STEUBEN, ME 04680-0009 USA",1092-6194,10.1656/045.019.0106,Article
3554,Phascolarctos cinereus,NA,"Kavanagh, RP; Stanton, MA; Brassil, TE",Koalas continue to occupy their previous home-ranges after selective logging in Callitris-Eucalyptus forest,Wildlife Research,2007,34,2,94-107,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",1035-3712,10.1071/WR06126,Article
3250,Dama mesopotamica,NA,"Dolev, A; Saltz, D; Bar-David, S; Yom-Tov, Y",Impact of repeated releases on space-use patterns of Persian fallow deer,Journal Of Wildlife Management,2002,66,3,737-746,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-541X,10.2307/3803139,Article
2457,Graphiurus ocularis,NA,"van Hensbergen, H. J., and A. Channing.",Habitat preference and use of space by the namtap Graphiurus ocularis (Rodentia: Gliridae) Mammalia 53:25-33.,Mammalia,1989,53,1,25-33,MUSEUM NAT HIST NATURELLE,"55 RUE DE BUFFON, 75005 PARIS, FRANCE",0025-1461,10.1515/mamm.1989.53.1.25,Article
2946,Acinonyx jubatus,NA,"Houser, A; Somers, MJ; Boast, LK",Home range use of free-ranging cheetah on farm and conservation land in Botswana,South African Journal Of Wildlife Research,2009,39,1,Nov/22,SOUTHERN AFRICAN WILDLIFE MANAGEMENT ASSOC,"P O BOX 217, BLOUBERGSTRAND 7437, SOUTH AFRICA",0379-4369,10.3957/056.039.0102,Article
4023,Castor canadensis,NA,"McClintic, LF; Wang, GM; Taylor, JD; Jones, JC",Movement characteristics of American beavers (Castor canadensis),Behaviour,2014,151,9,1249-1265,BRILL ACADEMIC PUBLISHERS,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS",0005-7959,10.1163/1568539X-00003183,Article
2736,Lycaon pictus,NA,"Jenkins, E; Silva-Opps, M; Opps, SB; Perrin, MR",Home range and habitat selection of a reintroduced African wild dog (Lycaon pictus) pack in a small South African game reserve,African Journal Of Wildlife Research,2015,45,2,233-246,SOUTHERN AFRICAN WILDLIFE MANAGEMENT ASSOC,"P O BOX 217, BLOUBERGSTRAND 7437, SOUTH AFRICA",2410-7220,10.3957/056.045.0233,Article
915,Canis lupus,italicus,"Musto, C; Caniglia, R; Fabbri, E; Galaverni, M; Romagnoli, N; Pinna, S; Berti, E; Naldi, M; Bologna, E; Molinari, L; Del Magno, S; Delogu, M",Conservation at the individual level: successful rehabilitation and post-release monitoring of an Italian wolf (Canis lupus italicus) injured in a car accident,Veterinarski Arhiv,2020,90,2,205-212,UNIV ZAGREB VET FACULTY,"P O BOX 190, 41001 ZAGREB, CROATIA",0372-5480,10.24099/vet.arhiv.0727,Article
1611,Chalinolobus tuberculatus,NA,"Borkin, KM; Parsons, S",Effects of Clear-Fell Harvest on Bat Home Range,Plos One,2014,9,1,NA,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",1932-6203,10.1371/journal.pone.0086163,Article
427,Perameles gunnii,NA,"Groenewegen, R; Harley, D; Hill, R; Coulson, G",Assisted colonisation trial of the eastern barred bandicoot (Perameles gunnii) to a fox-free island,Wildlife Research,2017,44,06/Jul,484-496,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",1035-3712,10.1071/WR16198,Article
4020,Odocoileus virginianus,NA,"Porter, WF; Underwood, HB; Woodard, JL","Movement behavior, dispersal, and the potential for localized management of deer in a suburban environment",Journal Of Wildlife Management,2004,68,2,247-256,WILDLIFE SOC,"5410 GROSVENOR LANE, BETHESDA, MD 20814-2197 USA",0022-541X,10.2193/0022-541X(2004)068[0247:MBDATP]2.0.CO;2,Article
371,Nyctereutes procyonoides,NA,"Mustonen, AM; Lempiainen, T; Aspelund, M; Hellstedt, P; Ikonen, K; Itamies, J; Vaha, V; Erkinaro, J; Asikainen, J; Kunnasranta, M; Niemela, P; Aho, J; Nieminen, P",Application of change-point analysis to determine winter sleep patterns of the raccoon dog (Nyctereutes procyonoides) from body temperature recordings and a multi-faceted dietary and behavioral study of wintering,Bmc Ecology,2012,12,NA,NA,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",1472-6785,10.1186/1472-6785-12-27,Article
3481,Sciurus vulgaris,NA,"Wauters, LA; Lurz, PWW; Gurnell, J",Interspecific effects of grey squirrels (Sciurus carolinensis) on the space use and population demography of red squirrels (Sciurus vulgaris) in conifer plantations,Ecological Research,2000,15,3,271-284,BLACKWELL SCIENCE ASIA,"54 UNIVERSITY ST, P O BOX 378, CARLTON, VICTORIA 3053, AUSTRALIA",0912-3814,10.1046/j.1440-1703.2000.00354.x,Article
3587,Meles meles,NA,"Kauhala, K; Holmala, K","Landscape features, home-range size and density of northern badgers (Meles meles)",Annales Zoologici Fennici,2011,48,4,221-232,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,"P O BOX 26, FI-00014 UNIV HELSINKI, FINLAND",0003-455X,10.5735/086.048.0403,Article
895,Sus scrofa,NA,"Pellerin, M; Picard, M; Said, S; Baubet, E; Baltzinger, C",Complementary endozoochorous long-distance seed dispersal by three native herbivorous ungulates in Europe,Basic And Applied Ecology,2016,17,4,321-332,ELSEVIER GMBH,"HACKERBRUCKE 6, 80335 MUNICH, GERMANY",1439-1791,10.1016/j.baae.2016.01.005,Article
1850,Petaurus breviceps,NA,"QUIN, DG; SMITH, AP; GREEN, SW; HINES, HB","ESTIMATING THE HOME RANGES OF SUGAR GLIDERS (PETAURUS-BREVICEPS) (MARSUPIALIA, PETAURIDAE), FROM GRID-TRAPPING AND RADIOTELEMETRY",Wildlife Research,1992,19,4,471-487,CSIRO PUBLISHING,"150 OXFORD ST, PO BOX 1139, COLLINGWOOD, VICTORIA 3066, AUSTRALIA",1035-3712,10.1071/WR9920471,Article
2953,Rhinopithecus roxellana,NA,"Fan, PL; Li, YM; Stanford, CB; Li, F; Liu, ZT; Yang, KH; Liu, XC","Home range variation of two different-sized groups of golden snub-nosed monkeys (Rhinopithecus roxellana) in Shennongjia, China: implications for feeding competition",Zoological Research,2019,40,2,121-128,SCIENCE PRESS,"16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA",2095-8137,10.24272/j.issn.2095-8137.2018.044,Article
1075,Ursus americanus,NA,"Ditmer, MA; Noyce, KV; Fieberg, JR; Garshelisa, DL",Delineating the ecological and geographic edge of an opportunist: The American black bear exploiting an agricultural landscape,Ecological Modelling,2018,387,NA,205-219,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0304-3800,10.1016/j.ecolmodel.2018.08.018,Article
2865,Macropus robustus,erubescens,"CLANCY, TF; CROFT, DB","HOME RANGE OF THE COMMON WALLAROO, MACROPUS-ROBUSTUS-ERUBESCENS, IN FAR WESTERN NEW SOUTH WALES",Australian Wildlife Research,1990,17,6,659-673,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC",0310-7833,NA,Article
3486,Indri indri,NA,"Bonadonna, G; Zaccagno, M; Torti, V; Valente, D; De Gregorio, C; Randrianarison, RM; Tan, C; Gamba, M; Giacoma, C","Intra- and Intergroup Spatial Dynamics of a Pair-Living Singing Primate, Indri indri: A Multiannual Study of Three Indri Groups in Maromizaha Forest, Madagascar",International Journal Of Primatology,2020,41,"2, SI",224-245,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0164-0291,10.1007/s10764-019-00127-5,Article
